id,name
0,3-2-1
1,3 Day Weekend
2,3 Pilares
3,4x1
4,5 Spot
5,3: 20 in the Morning
6,3 o'clock
7,4th and Clyde
8,5 O'Clock Tea
9,8 Amaro Sazerac
10,8th Arrondissement
11,.38 Special
12,53 Souvenirs
13,92 Siestas
14,221b
15,15 Second Punch
16,The 40th Lady
17,69 Holland
18,100-Year-Old Cigar
19,1790
20,1794
21,1795
22,1818 Cocktail
23,1910
24,About Face
25,Absinthe Frappe
26,Absinthe Frappe (Jamie Boudreau)
27,Absolution
28,Across 110th Street
29,Across The River
30,Ada Lovecraft
31,Adak National Forest
32,The Adams
33,Adirondack
34,Adventures Close to Home
35,Adair Hook
36,Adam's Words
37,Adelphi Cocktail
38,Adonis (PX)
39,Aeroplane Over the Sea
40,Affaires de l'amour
41,After the Gold Rush
42,Aftermath
43,Aged to Perfection
44,Aid and Abet
45,After Eight
46,Afterburner
47,Agave Gracias
48,Agnostic Monk
49,Airbag
50,Aisy Uchanan
51,Akoya
52,Alaska Forest
53,Alberto
54,Alcatraz
55,Ajax
56,Aladdin
57,Albert Park Swizzle
58,Albiconi
59,Alchemist (Sam Fraser)
60,Algarrobina
61,All American Autumn
62,All In
63,Allen & Wright
64,Allie Elizabeth Sleeping
65,Algiers Point
66,All of Freud's Beautiful Women
67,All the King's Men
68,Alley Negroni
69,Alligator Swing
70,Allspice Sour
71,Alpine Bird
72,Alpino
73,Always Bet On Black
74,Amaretto Sour (Jeffrey Morgenthaler)
75,Aloe'n & Cynical
76,Alpine Jewel
77,Altazor
78,am-am sour (amaretto-amaro)
79,Amargo Agrio
80,The Amargo Vallet Sour
81,Amaro Andrea
82,Amaro Daiquiri (Billy Sunday)
83,Amaro Mood
84,Amaroland
85,Amari-o Bros.
86,Amaro Cocktail
87,Amaro di Cocco
88,Amaro Paisano
89,AmaRONI
90,Amaryllis
91,Amber Hive
92,Amburoni
93,Amer mon Amour
94,American Cocktail
95,Amateur Pornstar Martini
96,Ambidextrous
97,Amelia Earhart
98,Amer Picon 'Pouffle' Fizz
99,American Gumption
100,American Trilogy
101,Americano Perfecto
102,Among Dreams
103,Amoxicillin
104,Anabasis
105,Americano
106,Amertinez
107,Amora Amaro
108,Amsterdam
109,Anastasia
110,Anchor-Faced
111,Anchorita
112,Ancient Mariner
