id,name,recipe_url
0,3-2-1,/cocktail/3-2-1
1,3 Day Weekend,/cocktail/3-day-weekend
2,3 Pilares,/cocktail/3-pilares
3,4x1,/cocktail/4x1
4,5 Spot,/cocktail/5-spot
5,3: 20 in the Morning,/cocktail/320-morning
6,3 o'clock,/cocktail/3-oclock
7,4th and Clyde,/cocktail/4th-and-clyde
8,5 O'Clock Tea,/cocktail/5-oclock-tea
9,8 Amaro Sazerac,/cocktail/8-amaro-sazerac
10,8th Arrondissement,/cocktail/8th-arrondissement
11,.38 Special,/cocktail/38-special
12,53 Souvenirs,/cocktail/53-souvenirs
13,92 Siestas,/cocktail/92-siestas
14,221b,/cocktail/221b
15,15 Second Punch,/cocktail/15-second-punch
16,The 40th Lady,/cocktail/40th-lady
17,69 Holland,/cocktail/69-holland
18,100-Year-Old Cigar,/cocktail/100-year-old-cigar
19,1790,/cocktail/1790
20,1794,/cocktail/1794
21,1795,/cocktail/1795
22,1818 Cocktail,/cocktail/1818-cocktail
23,1910,/cocktail/1910
24,About Face,/cocktail/about-face
25,Absinthe Frappe,/cocktail/absinthe-frappe
26,Absinthe Frappe (Jamie Boudreau),/cocktail/absinthe-frappe-jamie-boudreau
27,Absolution,/cocktail/absolution
28,Across 110th Street,/cocktail/across-110th-street
29,Across The River,/cocktail/across-river
30,Ada Lovecraft,/cocktail/ada-lovecraft
31,Adak National Forest,/cocktail/adak-national-forest
32,The Adams,/cocktail/adams
33,Adirondack,/cocktail/adirondack
34,Adventures Close to Home,/cocktail/adventures-close-home
35,Adair Hook,/cocktail/adair-hook
36,Adam's Words,/cocktail/adams-words
37,Adelphi Cocktail,/cocktail/adelphi-cocktail
38,Adonis (PX),/cocktail/adonis-px
39,Aeroplane Over the Sea,/cocktail/aeroplane-over-sea
40,Affaires de l'amour,/cocktail/affaires-de-lamour
41,After the Gold Rush,/cocktail/after-gold-rush
42,Aftermath,/cocktail/aftermath
43,Aged to Perfection,/cocktail/aged-perfection
44,Aid and Abet,/cocktail/aid-and-abet
45,After Eight,/cocktail/after-eight
46,Afterburner,/cocktail/afterburner
47,Agave Gracias,/cocktail/agave-gracias
48,Agnostic Monk,/cocktail/agnostic-monk
49,Airbag,/cocktail/airbag
50,Aisy Uchanan,/cocktail/aisy-uchanan
51,Akoya,/cocktail/akoya
52,Alaska Forest,/cocktail/alaska-forest
